Type,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,Description
Dog,Labrador Retriever,Female,Brown,Small,Long,Yes,Yes,Yes,Healthy,1,0,"Snow used to have a home nearby my area but when her owners shifted, she was left behind. she was finding for food and hiding under cars and we picked her up after feeding her a few times. now, an uncle is fostering her and we are trying to find for her a good forever home. preferably in Selangor. she is spayed! more available dogs for adoption: Shortie - Hope - KJ Puppies - Moo -"
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,No,No,No,Healthy,2,0,"Poci is an only child from a stray cat I called Dikkie (Dikkie is a black cat). If you are interested in adopting this cute little kitten or even together with the mom to provide for a better home, just drop me a message or email and I'll try to get back to you as soon as possible."
Cat,Tabby,Female,Black,Small,Short,No,No,No,Healthy,1,0,"Looking for a good home for this kitten. Left by her mother near our house, she is in need of a good home and a good owner..thank you"
Dog,Mixed Breed,Female,Black,Large,Short,Yes,Yes,None,Healthy,1,0,"Rescued at one month, she has been with us for a year. I just could not let her go, but, the time has come for a permanent home. She is the smartest dog I have ever worked with. She is timid, but once she knows you she is loving and devoted. She knows both verbal commands and ten words in American Sign Language. Again, she is very smart. She is cage trained and will nap and sleep in the cage if the door is left open. She spends the night in the cage. She is house broken. You will need to spend a few days taking her out on a regular schedule [after meals] so she gets used to the new environment. All vaccinations have been given. She has been dewormed and has taken heartworm medicine and flee/tic medicine every month. She is in a condo now but I suspect she would love a yard. She is very excited to be outside. Please let me know if you have any questions. Pictures to follow."
Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,No,Healthy,1,0,"Frodo was found in the compound of my neighbour's house one day when he squeezed through the gate. My neighbour already has 2 adult dogs and they do not want a third one. They insist to give him away so here I am, asking for someone out there to please give lil Frodo a forever home. He is as adorable as any pups you see. Please please give him a chance to light up your life."
Cat,Domestic Medium Hair,Female,Brown,Medium,Short,No,No,No,Healthy,1,0,"Imogene is 2 month old. Active and healthy , eats well too. Playful and have a tendency to be a 'manja' cat. Litter trained. Are fed on both dry and wet food,and can eat both well..."
Dog,Jack Russell Terrier,Female,Brown,Medium,Short,Yes,Yes,Yes,Healthy,1,0,"Olive's body looks like Corgi, her behavior is like Jack Russell. She has short legs, but full of energy. She is very active, very playful and very friendly. Overall, she is an energetic and confident puppy."
Cat,Siamese,Male,Brown,Medium,Medium,No,Yes,No,Healthy,1,50,"4/5/ An Adorable Siamese kitten looking for new home. Cream Boy is a 2 months old male kitten. He has medium, creamy fur with brown colour point. He has the ordinary Siamese's beautiful sky-blue eyes. He has his flea treatment done and was de-wormed on 4/5/. He is feeding on kibbles already. He is healthy, very active and playful. He is under toilet training now & ready to go anytime. *RM administration fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call ."
Dog,Mixed Breed,Female,Cream,Medium,Medium,No,Yes,No,Healthy,1,0,"Jill has been rescued off street near Empire Damansara. She is obedient, sweet, cute, gentle and love hugs! Do adopt her into your loving family!"
Cat,Domestic Short Hair,Female,Brown,Medium,Short,No,Yes,No,Healthy,1,20,"Found this kitten at some shoplots near where I live. Most likely mixed breed, with a bob tail. She was taken to the vet and given medication for any injuries and is doing well now. She is not picky about pet food but can get addicted to low-quality kitten kibble (whiskas, purina etc.) but it's mostly due to additives in the food. She is smart and can be curious at times. The fee is just to cover the cost of cat toys bought for her. If you are interested, do not call or WhatsApp/text me. Do not e-mail either. I will ignore. Please ONLY comment on this post."
Cat,Domestic Short Hair,Female,Yellow,Small,Short,No,No,No,Healthy,1,0,Kiki was born on 9th February .
Dog,Doberman Pinscher,Male,Black,Large,Short,Yes,Yes,No,Healthy,1,0,"Bear is pure breed Dobermann. He's obedient and very healthy, well socializes and good with children. Bear is given free, condition is that adopter must neuter and must pay for neutering fee. Adopter must have at least a compound for him to exercise. No caging please. I love Bear very much due to personal reason i have no choice but to let Bear have a better future. Adopter must love Bear same as i love him. Please contact me through my email, let me konw your location and we proceed from there. No breeder please."
Cat,Domestic Medium Hair,Male,White,Medium,Medium,No,Yes,No,Healthy,1,0,"Cute little white kitten at Damansara Perdana, was without mommy cat. Available immediately. Adopters welcome to call for Q&A"
Cat,Domestic Short Hair,Mixed,Black,Medium,Short,No,Yes,No,Healthy,2,9,"#Can be adopt together or individual# GBee Boy and Rosee Gal were abandon at a vet doorstep by a little girl. They are healthy, feisty and playful. They are very manja and full of confident. Both can be taught to get along with other pets in your household. Rosee is the typical girl: sweet, gentle, manja, soft, cuddly and lady-like.I Please give these cute kitties a chance. Potential adopter must agree to neuter/spayed once they'r old enough. No lifetime caging. All living creature must have a chance of freedom once a while. Please be aware that your pet will live as long as 20 years. You will be responsible for his well being for next 20 years. So please include them in all your future planning; be it married, having babies, job relocation each. If you think you can be a responsible pet owner, please call me to view and play with these two adorable kitties. If you stay within Shah Alam or Subang, i can deliver him/her to you 27/3/12 update: GBee been adopted by a cat lover. Any other kind soul wanna adopt sweet Rosee?"
Dog,Pomeranian,Male,Yellow,Small,Medium,None,None,None,Healthy,1,0,"Mr. Tibbs is a little guy who's gentle and friendly. Great for kids and the older people. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
Dog,Terrier,Female,Brown,Medium,Short,No,Yes,No,Healthy,1,0,"Diamond is playful, active and clever. She knows how to sit, shake hands and is toilet trained on newspaper. Unfortunately her owner has to give her up due to work committment. Please call Dr. Gowry at Ara Damansara Animal health Center at / ."
Cat,American Shorthair,Mixed,Brown,Small,Short,No,No,No,Healthy,3,0,3 stray super-cute new-born kittens abandoned by their mother. Looking for a good home.
Cat,Domestic Short Hair,Male,Black,Medium,Short,No,No,No,Healthy,2,0,"Mother cat visits my home and has delivered these two lovely kittens. They were looked after by her and myself and are both now 1 month old and are beginning to eat kibbles, meat biscuits and drink water apart from still getting fed from their mother. Both looking for caring responsible loving home."
Cat,Russian Blue,Female,Golden,Medium,Short,Yes,Yes,No,Healthy,1,0,"Introducing gorgeous little Tequila! ♥ Female kitten, 5 1/2 months old. Has a diluted-tortie coat with gorgeous green eyes. ♥ Tequila is full of character! She's a vibrant little girl who loves to dash about and play. She is both a little darling as well as mischievous (when no ones looking)! ♥ Tequila has her own unique way of displaying affection. Tortoiseshell cats are known for abundance of character and this lady is no different (Read here:). ♥ Sometimes she purrs - sometimes she has a lot to say (yes she talks  meows back). Sometimes she forces herself onto our laps for strokes - and at other times she plants a loving nip or two. ♥ She gets along great with cats her age and kittens. Is weary of bigger adult cats and only approaches if they're friendly (not growling or hissing). Otherwise she takes some time to adjust. ♥ Tequila is great with people although we would recommend that only adults or people adjusted to tortie behavior adopt her (as her nippings might not be tolerable for children). ♥ This girl is very clever with her little-box and eats her kibble without complaint. She has been vaccinated, dewormed and given spot-on prevention against fleas and other parasites. ***[IMPORTANT] Note for potential adopters*** ○ Tequila must be kept INDOORS at all times (for her own safety). ○ Tequila must be SPAYED at the right age. ○ Premium food feeding only (no Whiskas, Friskies etc). Please inquire, this is for her long-term well being. Drop me an email or call if you feel that you may be just the right person for this girl. Thank you!"
Cat,Domestic Short Hair,Female,Black,Small,Short,No,Yes,No,Healthy,1,0,"Rescued by a friend with a minor injury on her chin, we took her to the vet and got her a general check up and dewormed. The wound has now healed and she's up and running, a happy little kitten. Litter trained. Loves tuna. Unfortunately can't keep her :("
Cat,Domestic Long Hair,Mixed,Black,Medium,Long,No,No,No,Healthy,3,0,Hi everyone! I have three kittens available for adoption. One female (golden colour) and two male (white+golden and black+white). This kitten is very active and playful. I hope someone can to provide a new home and love these kittens as much as i do. And strictly for animal lovers only!
Cat,Domestic Short Hair,Male,Black,Small,Short,No,No,No,Healthy,1,0,"kitten for adoption, pls call for enquiry, office hour tue-fri 9am-6.30pm, sat-sun 10-4.30pm, email will not get replied."
Cat,Domestic Short Hair,Male,Black,Medium,Short,No,Yes,No,Healthy,4,0,"all r adopted ...tq kak as and pauline.. 4 healthy male dsh kittens r for adoption again. d.o.b:20/9/10 dewormed 1st on /10,2nd on 2/ litter trained..very active..current diet:rc kitten,blackwood,boiled fish&chicken+food suppliment(additional protein) they all look almost the same,different only by the tail.. 1.black tabby long kink tail 2.black tabby short kink tail 3.orange tabby long tail 4.orange tabby short kink tail"
Dog,Mixed Breed,Female,Brown,Large,Short,Yes,Yes,No,Healthy,1,0,"FOR serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS / Whatapps to / Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY."
Cat,Domestic Long Hair,Female,Black,Medium,Long,Yes,Yes,Yes,Healthy,1,0,"We are animals rescuer this year as part of our CSR initiatives. We rescue many abandoned animals and recently we rescued a pregnant cat and gave birth to 3 kittens. In total we have 15 cats and as such we are looking for individuals who are truly animal lovers and he or she has to be patient with the cat(s) adopted from us. All our cats are neutered or spayed. As long as you promise to give them ever lasting love, there won't be any fees incurred. Ah Onn and Ah Lok are one pair and they are inseparable. ""Onn Lok"" in Chinese means contentment. So we are looking for a kind soul who will take them as one pair and not break up their company. Ah Onn is male and is one year old. His hair is longer than the normal tabby because he is long hair mixed. He is always on the look out for Ah Lok, afraid that someone will bully her. Ah Lok is also one year old and she is very shy and reserved. Please be in touch with us if you are really keen and you must be an animal lover. We insist that the new owner must bring a cat carrier when we hand over the cat(s). Please come forward now and spend your new year with your new found joy! Thanking all interested parties in advance for your charitable act. Please SMS Abby at for adoption."
Cat,Domestic Short Hair,Mixed,Gray,Medium,Short,Yes,Yes,No,Healthy,3,0,"Hello to all cat saviors out there! im helping a friend to advertise these 3 kitties. they're up for adoption urgently or they will be 'PUT TO SLEEP'. please adopt and save lives! thank you so much! if you are interested, please contact : PN RAINA -"
Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,Gracy is an adorable puppy waiting for your love and home. She is very friendly and playful. Please open your hearts and give her your home. Please call to adopt.
Cat,Domestic Short Hair,Female,Brown,Medium,Short,None,Yes,Yes,Healthy,1,0,Found crying for food outside our place. Now * De-flead * De-wormed * Neutered * Re-homed with new name Like & regularly check : Pets + Strays for * LATEST updates * suggestions * products & services review / endorsement * Samples - when available * leave your contact details & linkup
Cat,Domestic Medium Hair,Mixed,Yellow,Medium,Medium,No,No,No,Healthy,3,0,"Hi This is the kitty i found at pemaisuri garden , near toilet there While jogging at the garden , i found this few kitty and they are quite cute , decided to take their photo looking for their master there is 3 kitten , the white color 1 is their mother the yellow and drak gray is male while the white 3 color kitty is female anyone interested plz call Mdm  TQ"
Cat,Domestic Short Hair,Female,Black,Medium,Short,Yes,Yes,No,Healthy,2,0,"Two playful kittens born from a loving mother, Butterscotch and Oreo are two zesty little kittens. Always finding something to play with, if not with each other. Very attentive and responsive. Potty trained, dewormed, vaccinated and above all, very healthy. The only thing keeping them away is that a small house can have only so many cats. The mother was very small when we found her and did not expect a family yet, hence why she wasnt neutered earlier. Looking for a responsible family to care for these kittens."
Dog,Mixed Breed,Female,Black,Medium,Short,None,None,None,Healthy,1,0,"I rescued this adoring girl in the rain shivering with hunger.Not sure bout her age but probably less than one yr old. She is now bath and well feed. Unfortunately I couldn't keep her long for personal issues. If she is not adopted by this week, I will hav to send her to SPCA and they will probably put her to sleep as I was told. I dont want to send her to sleep and this was not the reason I rescue her. So plz guys, I need your help to give her a good home. Plz?"
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,No,Yes,No,Healthy,1,0,We rescued her stray mother about a month before she gave birth. Now she is close to 4 mths old. Healthy & toilet trained.
Dog,Mixed Breed,Male,Brown,Medium,Medium,No,No,No,Healthy,1,0,Happy go lucky male pup melts your heart :) PLEASE CONTACT (MISS OOI).
Dog,Terrier,Female,Black,Medium,Long,No,Yes,No,Healthy,1,0,"Her mum is a terrier mix with tall & thin body. More details, pls call"
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,No,No,No,Healthy,1,0,"2 months old, female. Cute, active and playful. This kitty is looking for lovely home sweet home. Please contact me at for adoption."
Dog,Mixed Breed,Female,Black,Medium,Long,Yes,Yes,Yes,Healthy,1,0,She was adopted by a family in Klang 3 months ago. Recently a friend of this family had given them a Cocker Spaniel pure breed puppy. Because the family already has a Cocker Spaniel by their own. Therefore they insisted that they can't keep 3 dogs because of the town council ruling. So she was returned by the owner to us. She is already spayed and fully vaccinated.She is very Spitz look. Long fur but do not require grooming. No tying and caging for long hour except for precautionary purposes.
Cat,Domestic Medium Hair,Mixed,Black,Small,Medium,No,No,No,Healthy,3,0,"3 baby cat for adoption. toilet trained, already know how to eat and drink by themselves. to those who want to adopt them, hope u can add me at ur instagram so that i can see them grow up :') u may add me instagram.com/maera_ismail#"
Dog,Mixed Breed,Male,Black,Medium,Medium,None,None,None,Healthy,1,0,"The boy is in good condition. Energetic and alert, making him a good guard dog. The owner (my neighbor) has to let go of him for personal reasons. Please text or call me at. Thanks!"
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,Yes,Yes,Yes,Healthy,2,0,"Thanks to all members who have responded positively and shown interest in these cats. After much thought and careful consideration, I have found a new owner and home for them. Hope they will continue to have a good lfe with the new owners. Thank you to Perfinder for bringing us together."
Dog,Mixed Breed,Male,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,"Sunny Boy is a very calm and cool guy.He loves to play with children. Sunny Boy was rescued off the streets in Gemas. If you wish to adopt, please call us at. Call immediately to avoid disappointment."
Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,She was abandoned by her previous owner who kept her as a guard dog to take care of his factory.The factory was sold and the new owner found her with a few puppies there. All her puppies were successfully re-homed. Now is her turn to get a good home. She is human-friendly and has no problem getting along with other dogs. No caging or tying for long hour except for precautionary purposes. Serious adopter pls call or sms me.
Dog,Mixed Breed,Female,Brown,Small,Short,Yes,Yes,Yes,Healthy,1,1,"Hello.. woof woof.. I’m Mei Mei and I’m 7 months old. I’m very cute, playful, friendly and I love humans a lot. I like to give them kisses every day. I love to play with water and I think I can swim well too . I like to play with my mom and my other siblings too. Please adopt me and take me home with you. I don’t eat that much but I can stay awake and alert for a very long time. I am a very good guard dog as well. My lab-mixed mom said my father could be a dachshund, hence, the short legs and long tongue. She gave birth to 10 of us. 1 sister died during birth. My current fosterers managed to give away 5 of my siblings to loving families and are planning to keep my mum and my sister. My neighbours are not too happy with us being around and they’ve called the council a few times to take us away. So me and my other 2 sisters need to be re-homed soon as we are growing older as well. I can walk on leash but don’t quite like car rides. I don’t do ‘my business’ everywhere but on the grass or designated areas by my owners only. For now, I can sit before eating but I am easily trainable to do tricks or potty training. Pweese take me with you and shower me your love.. I’m waiting positively. "
Dog,Labrador Retriever,Male,Black,Medium,Short,None,None,None,Healthy,1,0,3mths old male pup for adoption. Very cute beautiful markings. His name is Austin and he would love a family of his own and a home in which to feel safe and loved. He will be furever thankful and you will have a friend for all of his life.
Cat,Siamese,Female,White,Small,Short,None,None,None,Healthy,1,50,"a healthy cat,look like Siamese,very cute.i have had a cat already so can keep this one any more . so anyone kind heart can adopt it please contact me at and i will give a cage for free"
Dog,Mixed Breed,Female,Cream,Medium,Short,No,No,No,Healthy,1,0,"Sophie is very cute and adorable. She loves human attention and very playful too. Future adopter must spay the puppy when she is 5 months old (we will come and check). No caging or chaining is allowed, puppy must be allowed to run freely in the house compound. Only serious adopters will be entertained."
Dog,Miniature Pinscher,Female,Brown,Small,Short,Yes,Yes,No,Healthy,1,220,"Hazel is 3 months old. she is very playful and active, i just bought her 2 weeks ago but i cant keep her cuz she barks a lot and i have shitzu at home (they arent gettin along well) which is why i am givin her for adoption:( she is perfectly healthy, the only problem is with one of her leg which is gonna be okay hopefully! she fell down from stairs which is why she doesnt put her weight on one of her leg...she still runs and play amazingly! she loves to eat and loves to play fetch!:D"
Cat,Domestic Short Hair,Male,Black,Small,Short,None,None,No,Healthy,1,0,Location: IIUM / UIA Gombak Contact no:
Dog,Spitz,Female,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,"Elly is a chubby adorable spitz cross, with very cute brown markings on her face and body. She is toilet trained to do her business on newspapers. Very active and playful pup, hates to be caged up. Adopters must pay for her neutering."
Dog,Rottweiler,Male,Black,Medium,Medium,No,Yes,No,Healthy,1,150,"Has large paws and big bone but i cannot guarantee he will be large size or purebred. Puppy is a mixed breed. He was found with a long slash wound on his head but has since recovered after getting treatment form the vet. He is now certified healthy. brave, adventurous, curious and active little fellow-ton"
Dog,Mixed Breed,Mixed,Black,Medium,Medium,No,No,No,Healthy,8,0,These 8 puppies were given birth by the same mother of my two dogs. They were born early May .For more information about the puppies please contact Michelle. Phone number: Latest updates on June /Time: am: Two mix color puppies have been adopted. One male and one female. Another brown male puppy will be adopted soon.
Dog,Mixed Breed,Male,Brown,Medium,Medium,No,Yes,No,Healthy,1,0,For Adoption
Dog,Terrier,Female,Golden,Medium,Long,Yes,Yes,Yes,Healthy,1,0,My darling Jacklene has been adopted by a wonderful and loving family from Subang.
Cat,Tabby,Female,Black,Medium,Medium,No,No,No,Healthy,1,0,"Hi, I have another adult female cat who had babies. They're all about 6 weeks old now so they should be able to be given away. This would probably be my last batch of kittens since I would finally want to spay my cat after this. I would like to keep them, but my current circumstances does allow me to so I'm hoping to find interested pet lovers. This one is called Pepa or Pepper, another spice name. She's pretty chill kitten, doesn't run around much, but is pretty friendly and likes to play with her 'twin', Orey. The difference between her and Orey is she has brownish color on her legs. Orey can already eat wet food and a bit of dried food, so food wise, it shouldn't be too much of a problem. If you can, maybe get one pack of kitten milk and feed her that until it finishes. I'm currently training her and her siblings to use the litter box and it seems that they know where to do their business now so that's good. If interested in one, or more of them, please call/sms me at or email me. Unfortunately I don't have whatsapp, but if you need any additional pictures to be sent, please let me know your emails and I'll send them over."
Dog,Mixed Breed,Male,Black,Medium,Medium,No,No,No,Healthy,1,0,Hi..This puppy is for adoption. Found him wandering alone and crying while I am out for jogs at Lake Valley Bandar Tun Hussein Onn. I can't keep him because I have 4 dogs at home. My contact no. Location Sungai Long Kajang. Thanks n cheers!
Cat,Persian,Female,Cream,Medium,Long,No,No,No,Healthy,1,0,Has adopted by a friend with new pet name Kimie
Cat,Siamese,Female,Brown,Medium,Short,No,No,No,Healthy,1,0,"looking for new home.... if you're interested,pls call(yumi)"
Dog,Mixed Breed,Male,White,Medium,Short,No,No,No,Healthy,1,20,The puppy is currently taking shelter at SPCA Seberang Perai. Those interested to adopt him may contact us via email.
Dog,Mixed Breed,Female,Black,Medium,Short,No,Yes,No,Healthy,1,0,"Found this little beauty on my night walk last Sunday. She has displayed quite a quiet temperament, does not make much noise. I would definitely keep her had it not been that I live in a high rise building where space is constricted. I also have another young adult dog with me. I would appreciate finding a loving home for this little darling."
Cat,Domestic Short Hair,Male,Black,Medium,Short,No,No,No,Healthy,1,0,"Sharing post for Jennifer Skobel Location: KL This kind lady and her husband found this 2 weeks kitten in an alley. They are unable to keep this baby as they will be leaving for US in 2 weeks time. Currently, the kitten is boarded at the vet. Jennifer hopes that this boy will find a home before they leave. Jennifer and her husband had rescued another kitten 2 months ago and that kitten will be going back to US with her. This boy is too small to travel with them. So please help us share to find him a good and loving family. Contact me if you are able to help. Thank you."
Dog,Mixed Breed,Male,Black,Medium,Short,No,Yes,No,Healthy,1,0,"This boy was rescued from the street. I have no idea what breed he is mix from. I have only seen his mother which is a typical stray. Adopters must vaccinate, neuter and keep him indoors/fenced. Call/whatsapp: One Petz 2-1-20 one square, Tingkat mahsuri 1, Bayan lepas, Penang."
Cat,Domestic Medium Hair,Mixed,Black,Small,Medium,No,No,No,Healthy,5,0,I'm unable to take care of this lovely kittens because of my working hour and commitment - Mix Gender - has been left by their owner - 5 kittens and a mother Looking for new home for this babies. Contact no. (Nadia) Gombak/ Batu Caves
Dog,Mixed Breed,Male,Black,Medium,Medium,No,No,No,Healthy,1,0,"Name of Pet: B2 Age: 1 month (DOB : /) Breed: Mixed/Mongrel Gender: Male Location: Butterworth, Penang Contact: Tan () Email: mddb."
Cat,Tabby,Female,Black,Small,Short,Yes,Yes,No,Healthy,1,0,"Tumbles is a cuddly, playful, joy-filled kitten who will light up your life with love. She purrs constantly, comes to her name, and hops like a bunny on her toys. She’s adorable! When she was just a tiny baby, this blue-eyed angel was almost killed by a mean person who threw her out the window of a moving car, but she was saved in the nick of time before an oncoming car almost ran her over. She is so grateful to have a second chance at life. Now she needs a kind person to adopt her. Tumbles has so much love to give! She will provide you with endless happiness, entertainment, and fun. She’s been vaccinated, de-wormed, and is healthy and flea-free. She's also litter box trained! Included in the adoption is a FREE supply of kitten food, litter pan, bedding, toys and kitty litter. Tumbles is just waiting for you to take her home so she can love you. Adopting her will be the best decision of your life. She's a real sweetie! :-)"
Cat,Domestic Medium Hair,Male,Black,Medium,Medium,No,No,No,Healthy,1,0,"Found the cat almost being hit by a car in the middle of the road. felt sorry because he was so cute. so brought him home, cleaned him up fed him. now very healthy. He has a very nice shiny black coat and a good temperament. Putting him for adoption because my other cat tend to get jealous (also male).."
Dog,Mixed Breed,Female,Black,Medium,Short,None,None,No,Healthy,1,0,Puppy looking for a forever home. Commitment to spay is compulsory. Interested to adopt pls contact Amy
Dog,Mixed Breed,Female,Black,Small,Short,No,No,No,Healthy,1,0,"I found this little girl wondering in front of my house but I am not able to adopt her as I am renting a room and owner allowed me to adopt for only a few days. Little girl is really in need of a lovely home and family. She is cute and active, giving me lots of joy and love everyday. I am sure she will brings more love in the future if you give her a home.:)"
Dog,Akita,Female,Black,Small,Short,No,No,No,Minor Injury,1,0,"hye..i rescued this puppy because it was so weak n lying at my door house..when she look at u, u can see from her eyes that she is aking for help n to be rescue..after we fed her, she can walk n very playful..short tail to be exact, so cute..hehehe..her tail is so cute..hehehe..it seems like she dont have a tail..hehehhe actually, i'm not sure whether she is a he or he is a she,hehehe..from which breed also i'm not sure..=) anyone who is interested with dis cute puppy can all me..tq.."
Dog,Mixed Breed,Female,Black,Small,Medium,No,No,No,Healthy,1,0,This is the puppy we adopted from Crystal. She is healthy & cute.
Cat,Domestic Short Hair,Female,Black,Medium,Short,None,None,None,Healthy,1,0,"This female kitten is aged around 2-3 months old is looking for a home. She's currently under the care of a fosterer. If you are willing to share your life with this kitten, do sms me or you may contact the fosterer directly by messaging her through her Facebook page: Thank you."
Cat,Siamese,Female,Cream,Small,Short,No,Yes,No,Healthy,1,0,Very friendly and adorable Come view Lyca at our adoption booth at Hartamas Shopping  Plaza Damas every Saturday 1.30pm-6pm! 2nd Floor Outdoor opposite BT computers www.rescue2rehome.blogspot.com
Dog,Mixed Breed,Male,Black,Small,Short,No,No,No,Healthy,1,0,"Hi everyone, this cute little puppy was abandoned in a farm. Any kind soul would adopt him? Do contact me! :)"
Cat,Domestic Short Hair,Mixed,Black,Medium,Short,No,Yes,No,Healthy,2,0,Simply Adorable
Dog,Border Collie,Female,Black,Medium,Medium,No,No,No,Healthy,1,200,"BORDER COLLIE PUPPIES FOR ADOPTION! The smartest dog breed in the world! Age:3 weeks. A litter of 5 puppies. Very very cute and fluffy! Easily mistaken as a hamster! 3)Color like gaint panda,female."
Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,No,Healthy,1,0,Millie was rescued together with her siblings at usj18. Someone wrote to MPSJ to kill them. Me n another rescuer managed to save them. She has fine smooth coat. Very quiet. Already had her 1st vaccination n ivermectin injection. Please call to view her n give her a chance n a home to her..tq n God blessed
Cat,Domestic Medium Hair,Male,Black,Small,Medium,No,None,No,Healthy,1,0,They are really tamed and cute. Well-trained
Dog,Pug,Female,Cream,Small,Short,Yes,Yes,Yes,Healthy,1,0,"Pug mix. DOB: March For more info / adoption, please visit PAWS, PJ. There are a lot more at the shelter."
Dog,Mixed Breed,Female,Cream,Medium,Short,No,No,No,Healthy,2,0,Found Peanut and Muffin and 2 of her siblings abandoned in the field infront of our house. I managed to found owner for her 2 brothers but sadly no one respond for her and her sister Muffin. Peanut have natural born short rabbit tail and Muffin is with long tail. they are both very very cute. Sadly i wont be able to keep them as we already owned 2 dogs at home. Please feel free to contact me if you are interested. Condition to adopt: have a loving heart :)
Cat,Domestic Short Hair,Male,Black,Small,Short,Yes,Yes,No,Healthy,2,0,"Blackie & Belang are siblings. They are very playful , love to explore and adorable. Blackie has a white fur under his neck and look alike he is wearing a tuxedo. Because of my health condition I have to find them a new family. Hope someone can adopt both of them together."
Dog,Mixed Breed,Male,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,These puppies are healthy and playful. Need loving homes
Cat,Tabby,Mixed,Black,Small,Short,No,No,No,Healthy,4,0,"One month old kittens to be given away! They are very cute, playful and active. These 4 kittens were found nearby my house area. Can eat solid food and toilet trained. Kindly contact me ASAP via SMS or whatsapp for who are interested. I will contact you as soon as I can."
Dog,Beagle,Female,Black,Medium,Short,Yes,Yes,None,Healthy,1,0,She is active cute and also food lover She was well trained to toilet in cage and poop in certain place The only tricks I teach her is to lie down & sit Need to re-home her as soon as possible as my house dog always bite her
Cat,Domestic Medium Hair,Mixed,Brown,Large,Medium,Yes,Yes,No,Healthy,2,100,"age : 8 month diet: royal canin kitten 36 & Blackkwood Kitten Toilet trained healthy, active & playful"
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,No,No,Healthy,1,15,"it happened to be at my flat area, i heard it making noise at the backyard so I picked it up and keep it at my house currently, I have only a week time to board it at my house, hopefully can find a new home for it."
Dog,Mixed Breed,Male,Brown,Medium,Medium,No,No,No,Healthy,2,0,"Hi all. We managed to save these 2 MALE puppies at Berkeley Corner, Klang. Both are very chubby and healthy. I will send them for dewormed soon. 1 resident around the area has confirmed that some puppies have been taken away, while Majlis Perbandaran Klang (MPK) took 3 puppies some days ago. These puppies have been showered and fed. Would you please adopt them? I accept ZERO money from you and I just want you to give these puppies a good home! They are seriously very playful, clean and no kutu (ticks) as I have cleaned them myself. Please contact me if you are interested. Both of them look like twins - exactly same color, same feature. Thank you and look forward to hear some good news from you kind-hearted lot! 😊😆"
Cat,American Shorthair,Female,Gray,Medium,Short,No,No,No,Healthy,1,20,"A female stray followed me to my front door, she chose to give birth right in front of my house door. I couldn't just chase her away. Therefore had to be a foster to the mummy cat & her kittens. The fee is to cover the mummy cat's neutering fees. This kitten is healthy & happy. Adorable as well. Im just helping this kitten to find her forever home. Please contact me asap if you wish to love & be loved by this little furry bundle of love :D"
Cat,Domestic Medium Hair,Male,Cream,Medium,Medium,None,None,No,Healthy,1,0,"This cute clingy kitty just happened to appear at my door and did not go for while and keeps meow.He has this unique marble coat pattern, blue eyes and very playful. I currently taking care of him outdoor. He is very loyal cat as he waited for me front of the gate everytime we reach home. I cant afford to have another cat as we are moving to a smaller home."
Cat,Domestic Short Hair,Male,White,Medium,Short,No,Yes,No,Healthy,1,0,Rescued at 1 month and being fostered now. Very tame and friendly.
Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,No,No,Healthy,1,40,This pup has been vaccinated for the first vaccination and we will charge rm40 for the first vaccination fees. And owner will have to follow up with the second & third vaccination. We are rescuers and we are running a shelter(MERCY FOUNDATION) with about 80 dogs and also feeding another 20 to 30 dogs in our tamans nearby. We encourage donation upon adoption and even the smallest amount matters but its up to an individual. For further clarification pls whatsapp or call the number posted in the profile. Thank you
Cat,Domestic Medium Hair,Mixed,Brown,Medium,Medium,Yes,None,None,Healthy,6,0,These cats are properly took care off. To be adopted due to owner's personal difficulties.
